Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.81,symmetric,0.3763295259735916
75% Corpus,4,symmetric,0.01,0.3795891336107826
75% Corpus,4,symmetric,0.21000000000000002,0.38104538773580077
75% Corpus,4,symmetric,0.41000000000000003,0.3899337773834102
75% Corpus,4,symmetric,0.6100000000000001,0.38993377738341023
75% Corpus,4,symmetric,0.81,0.37746806826935975
75% Corpus,4,symmetric,symmetric,0.3845507089931864
75% Corpus,4,asymmetric,0.01,0.38986296205477766
75% Corpus,4,asymmetric,0.21000000000000002,0.3888780043147448
75% Corpus,4,asymmetric,0.41000000000000003,0.3888780043147448
75% Corpus,4,asymmetric,0.6100000000000001,0.3888780043147448
75% Corpus,4,asymmetric,0.81,0.3877079747999749
75% Corpus,4,asymmetric,symmetric,0.3888780043147448
75% Corpus,5,0.01,0.01,0.39152402830377203
75% Corpus,5,0.01,0.21000000000000002,0.38026818175264515
75% Corpus,5,0.01,0.41000000000000003,0.3990591233885085
75% Corpus,5,0.01,0.6100000000000001,0.3788494604139118
75% Corpus,5,0.01,0.81,0.38322734281912146
75% Corpus,5,0.01,symmetric,0.39190313248203523
75% Corpus,5,0.21000000000000002,0.01,0.3707726697533389
75% Corpus,5,0.21000000000000002,0.21000000000000002,0.376011309883299
75% Corpus,5,0.21000000000000002,0.41000000000000003,0.3882619199403187
75% Corpus,5,0.21000000000000002,0.6100000000000001,0.39470698908039115
75% Corpus,5,0.21000000000000002,0.81,0.3920919432627743
75% Corpus,5,0.21000000000000002,symmetric,0.38254400010106393
75% Corpus,5,0.41000000000000003,0.01,0.3908254754867747
75% Corpus,5,0.41000000000000003,0.21000000000000002,0.3944385293112892
75% Corpus,5,0.41000000000000003,0.41000000000000003,0.3929722018391787
75% Corpus,5,0.41000000000000003,0.6100000000000001,0.39420815571510764
75% Corpus,5,0.41000000000000003,0.81,0.3931849735784737
75% Corpus,5,0.41000000000000003,symmetric,0.3944385293112892
75% Corpus,5,0.6100000000000001,0.01,0.39368143226889696
75% Corpus,5,0.6100000000000001,0.21000000000000002,0.3968319687842194
75% Corpus,5,0.6100000000000001,0.41000000000000003,0.38845814167952647
75% Corpus,5,0.6100000000000001,0.6100000000000001,0.3926797199956936
75% Corpus,5,0.6100000000000001,0.81,0.38644399351849773
75% Corpus,5,0.6100000000000001,symmetric,0.3969106031490952
75% Corpus,5,0.81,0.01,0.3529501106126589
75% Corpus,5,0.81,0.21000000000000002,0.36381222362842947
75% Corpus,5,0.81,0.41000000000000003,0.37167680675970527
75% Corpus,5,0.81,0.6100000000000001,0.38562173891063956
75% Corpus,5,0.81,0.81,0.38562173891063956
75% Corpus,5,0.81,symmetric,0.3540685541872981
75% Corpus,5,symmetric,0.01,0.37077250258985395
75% Corpus,5,symmetric,0.21000000000000002,0.38254400010106393
75% Corpus,5,symmetric,0.41000000000000003,0.38931447934267227
75% Corpus,5,symmetric,0.6100000000000001,0.391958469775113
75% Corpus,5,symmetric,0.81,0.3920919432627743
75% Corpus,5,symmetric,symmetric,0.37611187739087226
75% Corpus,5,asymmetric,0.01,0.3881487282932985
75% Corpus,5,asymmetric,0.21000000000000002,0.3739366420069462
75% Corpus,5,asymmetric,0.41000000000000003,0.3898034980806053
75% Corpus,5,asymmetric,0.6100000000000001,0.38980349808060544
75% Corpus,5,asymmetric,0.81,0.3869872296505827
75% Corpus,5,asymmetric,symmetric,0.3758277811167134
75% Corpus,6,0.01,0.01,0.38256781920250066
75% Corpus,6,0.01,0.21000000000000002,0.38475225737112734
75% Corpus,6,0.01,0.41000000000000003,0.38523496466340346
75% Corpus,6,0.01,0.6100000000000001,0.39232725958406883
75% Corpus,6,0.01,0.81,0.38906040854323615
75% Corpus,6,0.01,symmetric,0.391853361410939
75% Corpus,6,0.21000000000000002,0.01,0.381441947817375
75% Corpus,6,0.21000000000000002,0.21000000000000002,0.3844474642180658
75% Corpus,6,0.21000000000000002,0.41000000000000003,0.38327947620165265
75% Corpus,6,0.21000000000000002,0.6100000000000001,0.38972070598308856
75% Corpus,6,0.21000000000000002,0.81,0.3845853763938644
75% Corpus,6,0.21000000000000002,symmetric,0.3802841663485259
75% Corpus,6,0.41000000000000003,0.01,0.3890052220313294
75% Corpus,6,0.41000000000000003,0.21000000000000002,0.3986224968918651
75% Corpus,6,0.41000000000000003,0.41000000000000003,0.38712302139351396
75% Corpus,6,0.41000000000000003,0.6100000000000001,0.38239277918873343
75% Corpus,6,0.41000000000000003,0.81,0.383643441950434
75% Corpus,6,0.41000000000000003,symmetric,0.3839708873128642
75% Corpus,6,0.6100000000000001,0.01,0.3904215674110539
75% Corpus,6,0.6100000000000001,0.21000000000000002,0.38545637957511264
75% Corpus,6,0.6100000000000001,0.41000000000000003,0.3836013128240248
75% Corpus,6,0.6100000000000001,0.6100000000000001,0.3860705068570926
75% Corpus,6,0.6100000000000001,0.81,0.38718203402563317
75% Corpus,6,0.6100000000000001,symmetric,0.38366869490190586
75% Corpus,6,0.81,0.01,0.36861229189686423
75% Corpus,6,0.81,0.21000000000000002,0.37719681987360376
75% Corpus,6,0.81,0.41000000000000003,0.37835118897840236
75% Corpus,6,0.81,0.6100000000000001,0.3786544549760516
75% Corpus,6,0.81,0.81,0.3820007953853996
75% Corpus,6,0.81,symmetric,0.3806897958724656
75% Corpus,6,symmetric,0.01,0.3802841663485259
75% Corpus,6,symmetric,0.21000000000000002,0.38639249533049536
75% Corpus,6,symmetric,0.41000000000000003,0.3845853763938644
75% Corpus,6,symmetric,0.6100000000000001,0.3871919299948447
75% Corpus,6,symmetric,0.81,0.3845853763938645
75% Corpus,6,symmetric,symmetric,0.38152391531089075
75% Corpus,6,asymmetric,0.01,0.3889952323210027
75% Corpus,6,asymmetric,0.21000000000000002,0.3878857746678916
75% Corpus,6,asymmetric,0.41000000000000003,0.37532704147878326
75% Corpus,6,asymmetric,0.6100000000000001,0.38128664166417453
75% Corpus,6,asymmetric,0.81,0.38348809819079777
75% Corpus,6,asymmetric,symmetric,0.38886912439844085
75% Corpus,7,0.01,0.01,0.38496764237865955
75% Corpus,7,0.01,0.21000000000000002,0.37726932074083014
75% Corpus,7,0.01,0.41000000000000003,0.37309612999378833
75% Corpus,7,0.01,0.6100000000000001,0.3730961299937884
75% Corpus,7,0.01,0.81,0.3761151054846251
75% Corpus,7,0.01,symmetric,0.38496764237865955
75% Corpus,7,0.21000000000000002,0.01,0.3815230095446656
75% Corpus,7,0.21000000000000002,0.21000000000000002,0.38465410120199844
75% Corpus,7,0.21000000000000002,0.41000000000000003,0.3923091622697254
75% Corpus,7,0.21000000000000002,0.6100000000000001,0.38467556329255875
75% Corpus,7,0.21000000000000002,0.81,0.38589429913445594
75% Corpus,7,0.21000000000000002,symmetric,0.3964277784415574
75% Corpus,7,0.41000000000000003,0.01,0.38374807604788475
75% Corpus,7,0.41000000000000003,0.21000000000000002,0.38666703935970165
75% Corpus,7,0.41000000000000003,0.41000000000000003,0.38589937107127703
75% Corpus,7,0.41000000000000003,0.6100000000000001,0.3846180638899276
75% Corpus,7,0.41000000000000003,0.81,0.39162167659331637
75% Corpus,7,0.41000000000000003,symmetric,0.38666703935970165
75% Corpus,7,0.6100000000000001,0.01,0.3763035415424957
75% Corpus,7,0.6100000000000001,0.21000000000000002,0.3730952647430211
75% Corpus,7,0.6100000000000001,0.41000000000000003,0.37551060271331976
75% Corpus,7,0.6100000000000001,0.6100000000000001,0.38140421359698246
75% Corpus,7,0.6100000000000001,0.81,0.38066533521982177
75% Corpus,7,0.6100000000000001,symmetric,0.3743728672543301
